Column Name,Description
Q21F_2_Month,[Month] In what Year and Month did [Partner_Name] pass away? 
w6_identity_2,Do you think of yourself as: 
w6_outness_2,"Thinking about the important people in your life, how many are aware that you ar "
w6_outness_timing_2,.0g      V140_A   * How old were you when a few of                                                 the important people in your life first became aw 
Q23_2,"When you and [Partner name] were last together, who earned more income? "
Q25_2,Did you and [Partner name] attend the same high school? 
Q26_2,Did you and [Partner name] attend the same college or university? 
Q27_2,Did you and [Partner name] grow up in the same city or town? 
Q28_2,Did your parents know [Partner                                                 name]™s parents before you met                                                 [Partner name]? 
w6_friend_connect_2_1,[I knew one (or more) of [Partner name]'s friends before meeting [Partner name]. 
w6_friend_connect_2_2,[[Partner name] knew one (or more) of my friends before I met [Partner name].] C 
w6_friend_connect_2_3,[One (or more) of my friends knewone (or more) of [Partnername]'s friends befo 
w6_friend_connect_2_4,[None of the above.] Choose as many as apply 
w6_friend_connect_2_Refused,[Refused] Choose as many as apply 
Q32_2,Did you use an Internet service to meet [Partner name]? 
w6_otherdate_2,"In the past year, have you ever met someone for dating, for romance, or for sex? "
w6_how_many_2,"How many Different people have                                                 you met for dating, or romance,                                                 or sex in the pas "
w6_otherdate_app_2,"In the Past Year have you ever used an app on your phone (such as Tinder or Grin w6_how_many_app_2 Of the [Selected response from w6_how_many] you met in the past year, how many d "
partyid7,DERIVED: Political party affiliation (7 categories) 
PERSNET_hom,gPERSNETPERSNET: Do you access theInternet at ... [Home] 
ppc10017,"CU7: To the best of your knowledge, is the cell phone you use most often a smart "
ppc21310,CU35: How often do you USUALLY access the internet? 
ppp20071,Q26A: Would you describe yourself as a born-again or evangelical Christian? 
ppp20072,Q27: How often do you attend religious services? 
ppage,Age ppagecat        
ppeduc,Education (Highest Degree Received) 
ppeducat,Education (Categorical) 
ppethm,Race / Ethnicity 
ppgender,Gender 
pphhhead,Household Head 
pphhsize,Household Size 
pphouse,Housing Type 
ppincimp,Household Income 
ppmarit,Marital Status 
ppmsacat,MSA Status PPREG4          
ppreg9,Region 9 - Based on State of Residence 
pprent,Ownership Status of Living Quarters 
PPT01,Presence of Household Members - Children 0-1 
PPT25,Presence of Household Members - Children 2-5 
PPT612,Presence of Household Members - Children 6-12 
PPT1317, 
PPT18OV,Presence of Household Members - Adults 18+ 
ppwork,Current Employment Status 
Race_1,[White] Please choose one or more race(s) that you consider yourself to be 
Race_2,[Black or African American] Please choose one or more race(s) that you consider 
Race_3,[American Indian or Alaska Native] Please choose one ormore race(s) that you co 
Race_4,gLABArace[Asian] Please choose one or more race(s) that you consider yourself to be 
Race_5,[Native Hawaiian or other Pacific Islander] Please choose one ormore race(s) th 
Race_6,[Some other race –] Please choose one or more race(s) that you consider yourself 
race1,Q14: White 
race2,Q14: Black or African American race3           
race4,Q14: Asian Indian 
race5,Q14: Chinese 
race6,Q14: Filipino 
race7,Q14: Japanese 
race8,Q14: Korean 
race9,Q14: Vietnamese 
race10,Q14: Other Asian 
race11,Q14: Hawaiian 
race12,Q14: Guamanian 
race13,Q14: Samoan 
race14,"Q14: Other Pacific Islander race15          _survey whether subject took the survey, or was excluded "
w6_prior_identity_lgb,entity_lgb whether subject was LGB in prior GfK survey based on weight2 and xlgb 
w6_same_sex_couple,_couple based on w6_prior_identity_lgb==1 & w6_q5==1 w6_same_sex_couple_gender _couple_gender based on w6_same_sex_couple and ppgender 
w6_q4,partner gender 
w6_q5,Same-sex couple based on Q5 and Q5_2 
w6_q6a,partner Hispanic 
w6_q6b,partner's race 
w6_q9,partner age in 2017 
w6_q10,partner's educational attainment w6_q11          
w6_q14,Subject's mother's educational attainment 
w6_q15a1_truncated,subject's country where grew up 
w6_q15a4_truncated,Country Subject was living in when met partner 
w6_q15a7,"met partner where subject was living then, or not "
w6_q16,how many relatives see in person each month 
w6_q17,"_attraction gender of attraction, based on Q17C and Q17D, and ppgender "
w6_q19,Are you currently living with [partner name]? 
w6_q20,ever lived with partner? 
w6_q21a_year,year subject first met partner 
w6_q21a_month,month subject first met partner 
w6_q21a_month_flag,whether month first met has been allocated
w6_q21b_month,month subject began romantic relationship w partner 
w6_q21b_month_flag,whether month of relationship beginning is randomly allocated 
w6_q21c_year,year subject first lived with partner 
w6_q21c_month,month subject first lived with partner 
w6_q21c_month_flag,=1 if month of first cohab is randomly allocated
w6_q21d_month,month subject married partner 
w6_q21e_year,year of breakup 
w6_q21e_month,month of breakup 
w6_q21f_year,year partner died 
w6_q21f_month,month partner died 
w6_identity_all,subject sexual identity 
w6_outness_all,GLB outness: how many of the imp people in your life know you are GLB? 
w6_outness_timing_all,how old subject was when came out 
w6_q23, or whenlast together) 
w6_q24_length,length of q24 how met answer in characters 
w6_q25,did subject and partner attend same H.S. 
w6_q26,did subject and partner attend same college 
w6_q27,did subject and partner grow up in same city or town 
w6_q28,did subject's parents know partner's parents beforesubject knew partner? w6_friend_connect_1_all subject knew partner's friends before meeting partner 
w6_friend_connect_2_all,partner knew subjects friends before meeting subject 
w6_friend_connect_3_all,subject's friends knew partner's friends before subject and partner met 
w6_friend_connect_4_all,no prior connection betweensubject's friends and partner'sfriends 
w6_q32,did you use an Internet service to meet partner? 
w6_q34,how would you describe the quality of your relationshipwith partner? 
w6_otherdate_all,In past yr have you met anyone for dating romance or sex (not incl current partn 
w6_how_many_all,how many ppl did you meet (not                                                 including current partner if                                                 partnered) last yr 
w6_otherdate_app_all,not incl current partner (if partnered) did you use phone app last year to meet
w6_how_many_app_all,how many ppl did you meet (not including partner) last year through phone apps?
w6_number_people_met,based on w6_how_many_all and w6_otherdate_all 
w6_otherdate_dichotomous,gyesnodid subject meet someone last year (other than current partner)? 
w6_married,based on S1 
relate_duration_at_w6_years,july 2017-year and month when rel started (Q21B) if has current rel 
w6_number_people_met_app,"num of people met through phone apps last year, from w6_how_many_app_all, w6_oth weight_combo_v2 float%9.0ga different ver of theweight_combo var that weights LGB a little too highly "
partnership_status,"_status marital and partner, past partner status based on S1, S2, S3 "
female,based on ppgender 
year_fraction_met,= w6_q21a_year+(( w6_q21a_month-0.5)/12) 
year_fraction_relstart,= w6_q21b_year+(( w6_q21b_month-0.5)/12)
age_when_met,"age when met in years, =ppage-(2017- w6_q21a_year) "
time_from_met_to_rel,= year_fraction_relstart- year_fraction_met 
year_fraction_first_cohab,= w6_q21c_year+(( w6_q21c_month-0.5)/12) 
time_from_rel_to_cohab,"year_fraction_first_cohab- year_fraction_relstart, negreset to zero hcm2017q24_R_cowork Respondent's coworker: indermediary or partner "
hcm2017q24_R_friend,Respondent's friend: intermediary hcm2017q24_R_family Respondent's family: intermediary 
hcm2017q24_R_sig_other,Respondent's (current or past) Significant Other: Intermediary 
hcm2017q24_R_neighbor,Respondent's residential neighbor: intermediary or Partner
hcm2017q24_P_cowork,Partner's coworker: Intermediary or Respondent 
hcm2017q24_P_friend,Partner's Friend: Intermediary 
hcm2017q24_P_family,Partner's Family: Intermediary 
hcm2017q24_P_sig_other,Partner's (current or past) Significant Other: Intermediary 
hcm2017q24_P_neighbor,gyesnoPartner's residential neighbor: Intermediary or Respondent 
hcm2017q24_btwn_I_cowork,coworker relationship between intermediaries 
hcm2017q24_btwn_I_friend,friendship between intermediaries 
hcm2017q24_btwn_I_family,family relationship between intermediaries 
hcm2017q24_btwn_I_sig_other,significant other relationshipbetween intermediaries hcm2017q24_btwn_I_neighbor intermediaries are neighbors 
hcm2017q24_school,met in primary or secondary school 
hcm2017q24_college,met in college 
hcm2017q24_mil,met during military service 
hcm2017q24_church,met in or through church or religious organization 
hcm2017q24_vol_org,gyesnomet through voluntary organization (non-church) 
hcm2017q24_customer,customer-client relationship 
hcm2017q24_bar_restaurant,"bar, restaurant, or othe public social gathering place "
hcm2017q24_party,private party 
hcm2017q24_internet_other,"Internet, not otherwise classified "
hcm2017q24_internet_dating,gyesnomet through Internet dating or phone app 
hcm2017q24_internet_soc_network,met through internet social networking hcm2017q24_internet_game met through online gaming 
hcm2017q24_internet_chat,met through Internet chat 
hcm2017q24_internet_org,met through Internet site notmainly dedicated to dating hcm2017q24_public met in public place 
hcm2017q24_blind_date,met on blind date 
hcm2017q24_vacation,met while on vacation 
hcm2017q24_single_serve_nonint,non internet single service 
hcm2017q24_business_trip,met while on business trip 
hcm2017q24_work_neighbors,met as work neighbors 
hcm2017q24_met_online,"gyesnomet online, all kinds "
hcm2017_q24_length, 
hcm2017q24_summary_all_codes, 
w6_relationship_quality,ship_quality quality of existing relationships based on w6_q34 
hcm2017q24_met_through_family,1 if R_family or P_family =1 
hcm2017q24_met_through_friend,=1 if R_neighbor or P_neighbor=1 
hcm2017q24_met_as_through_cowork,1 if R_cowork or P_cowork=1 
w6_subject_race,based on single races Race_x 
interracial_5cat,based on w6_subject_race and w6_q6b 
partner_mother_yrsed,RECODE of w6_q11 (partner's mother's Education)
partner_yrsed,RECODE of w6_q10 (partner's educational attainment) 
subject_yrsed,RECODE of ppeduc (Education (Highest Degree Received))
weight_combo_freqwt,frequency weight version of weight_combo
w6_q21b_year,year subject began romantic relationship w partner
w6_q21d_year,year subject married partner
subject_mother_yrsed,RECODE of w6_q14 (Subject's mother's educational
PPREG4,Region 4 - Based on State of Residence
Past_Partner_Q1,Were you ever married to [Partner name]?
Q27,Did you and [Partner name] grow up in the same city or town?
hcm2017q24_R_cowork,Respondent's coworker: indermediary or partner
hcm2017q24_R_family,Respondent's family: intermediary
hcm2017q24_btwn_I_neighbor,intermediaries are neighbors
hcm2017q24_internet_game,met through online gaming
hcm2017q24_met_through_as_nghbrs,=1 if R_neighbor or P_neighbor=1
hcm2017q24_public,met in public place
ppagecat,Age - 7 Categories
ppagect4,Age - 4 Categories
race15,Q14: Some other race
race3,Q14: American Indian or Alaska Native
w6_attraction,"gender of attraction, based on Q17C and Q17D, and ppgender"
w6_breakup_nonmar,"Between you and [Partner name], who wanted more to break up?"
w6_friend_connect_1_all,subject knew partner's friends before meeting partner
w6_friend_connect_3,[One (or more) of my friends knew one (or more) of [Partner name]'s friends befo
w6_how_many_app_2,"Of the [Selected response from w6_how_many] you met in the past year, how many d"
w6_q11,partner's mother's Education
w6_q12,partner political affiliation
w6_same_sex_couple_gender,based on w6_same_sex_couple and ppgender
w6_took_the_survey,"whether subject took the survey, or was excluded"
weight_combo_v2,a different ver of the weight_combo var that weights LGB a little too highly
